id;code;name;city;agglomeration;status;owner;phone
1;enormously;forswear ethyl;Camrynville;although miscalculate;ACTIVE;daily;496-699-9766
2;downright uh-huh conservative;whoever tenant;Ebertworth;cruelly humiliating;PENDING;although claw qua;1-911-437-6994 x47117
3;parade;geez inexperienced;Gutkowskifurt;opposite for;ACTIVE;eek with volleyball;1-645-266-8253 x1779
4;past duh like;whoa;Fort Carmelo;dwell as wholly;PENDING;parallel zowie wide;449.216.5331 x476
5;knight;um behind noisily;Racine;edge fairly treble;PENDING;ick er woot;(379) 670-3203 x25414
6;plus;fair unblinking unzip;Strackeberg;terribly;PENDING;unfortunately bench amount;899.263.7604 x35897
7;display determined;hunt;Emiliestad;reservation if;SUSPENDED;on consequently though;264-979-5472
8;among anenst;why;Queentown;whenever;ACTIVE;since;1-712-211-8381 x9593
9;opposite;retool now unpleasant;Orncester;oddball;PENDING;gee;1-324-848-3869 x903
10;live besides minus;equally yippee;Fort Wayne;eek;PENDING;minus impossible;940.540.6991 x868
11;lest;colour relative kick;Terryville;nervously hastily;ACTIVE;tenement license;1-565-639-8064 x3921
12;pfft alarmed;atop;Port Addieview;until supposing;ACTIVE;pinion;964.564.7120 x917
13;atop weary;license remorseful worth;Lake Estefaniahaven;vacantly diligently;ACTIVE;morning sign;(432) 331-6510 x0995
14;instead fumigate lounge;arrogantly unfortunately;Port Catharine;slip deliquesce barring;ACTIVE;gah cope seafood;1-920-601-4940 x02426
15;tune failing unimpressively;since evenly;Idamouth;brilliant zowie skeleton;SUSPENDED;diligent;790-759-3817
16;and;boo properly elegantly;Keeblerstead;enormously madly;ACTIVE;oof vague interior;(313) 306-5005 x864
17;that apud;after;Fort Williestad;anenst;PENDING;sonar ew sadly;881.949.5071
18;opposite with;consistency huzzah;Gardena;yellow flood volleyball;ACTIVE;circulate;(502) 323-2803 x59256
19;bookcase snowplow;superb never vibration;St. Paul;until;ACTIVE;oblong evince ick;383.359.0022 x982
20;amount boggle;nimble yet yahoo;Lake Vita;ack bathrobe morning;SUSPENDED;knuckle notwithstanding gulp;(532) 277-7725 x945
21;what terribly inasmuch;ignite;Port Bradenburgh;canter aftermath;PENDING;hmph fondly;1-506-772-2332 x1178
22;extroverted contradict gastropod;reproachfully;Mauriceport;than gee;PENDING;zowie;(934) 418-2554 x675
23;experience;whereas ack;Gorczanyville;sweetly;PENDING;celsius dark flood;1-831-314-4835 x443
24;untried awkwardly information;upwardly deselect;Cypress;gastropod woeful;SUSPENDED;behind accomplished;289-822-0143 x3375
25;spirited duh gently;er brochure fatherly;Trevionbury;starboard;SUSPENDED;realistic intensely;1-939-827-5287
26;evince bell;because travel seldom;West Ardithworth;secrecy gorgeous;ACTIVE;helpful abaft bemuse;879-246-0820 x63737
27;circa infatuated worth;ick;Fort Jayne;till loftily;ACTIVE;thump;505-369-8000 x80399
28;everlasting;ravel round;Ferryfield;reward offensively;ACTIVE;pulp;496.731.4363 x6124
29;bitterly optimistically dual;blah caring;Kendall;evil;PENDING;yearningly so;(333) 476-9987 x194
30;behind blah;desk weighty;New Elbert;to sans readies;PENDING;polarisation ugh;364-951-1513 x56249
